# APERTIF DR1 Rotation Curves (SPARC-compatible format)
# Generated for TMT calibration
#
# Columns: Galaxy  D(Mpc)  R(kpc)  Vobs  e_Vobs  Vgas  Vdisk  Vbul
#
APERTIF_J000012        34.5     0.40   154.73  12.22    11.26     8.77     0.80
APERTIF_J000012        34.5     1.80   140.58  14.31    39.54    30.82     0.62
APERTIF_J000012        34.5     3.21   150.38   7.72    52.43    40.86     0.18
APERTIF_J000012        34.5     4.61   170.25  12.98    58.84    45.85     0.05
APERTIF_J000012        34.5     6.02   159.66   8.77    62.55    48.74     0.01
APERTIF_J000012        34.5     7.42   160.48  12.74    64.95    50.61     0.00
APERTIF_J000012        34.5     8.83   170.76  11.40    66.61    51.91     0.00
APERTIF_J000012        34.5    10.23   164.43  16.77    67.83    52.86     0.00
APERTIF_J000012        34.5    11.63   151.40  15.34    68.76    53.58     0.00
APERTIF_J000012        34.5    13.04   154.51  15.03    69.50    54.16     0.00
APERTIF_J000016       113.5     0.40   149.64  12.49    11.62     9.08     0.80
APERTIF_J000016       113.5     0.99   183.65  14.59    26.27    20.52     0.93
APERTIF_J000016       113.5     1.58   179.90  13.28    36.91    28.83     0.67
APERTIF_J000016       113.5     2.17   166.09  13.56    44.28    34.59     0.41
APERTIF_J000016       113.5     2.76   137.41  14.33    49.46    38.64     0.24
APERTIF_J000016       113.5     3.35   159.18  12.11    53.21    41.57     0.13
APERTIF_J000016       113.5     3.94   146.79  17.54    56.02    43.76     0.07
APERTIF_J000016       113.5     4.53   165.12  19.21    58.20    45.46     0.04
APERTIF_J000016       113.5     5.12   148.29  13.46    59.92    46.81     0.02
APERTIF_J000016       113.5     5.71   144.41  18.35    61.31    47.89     0.01
APERTIF_J000016       113.5     6.31   178.43  12.30    62.46    48.79     0.01
APERTIF_J000016       113.5     6.90   162.68  15.50    63.42    49.54     0.00
APERTIF_J000016       113.5     7.49   170.77  18.81    64.24    50.18     0.00
APERTIF_J000016       113.5     8.08   142.02  17.57    64.95    50.73     0.00
APERTIF_J000016       113.5     8.67   172.59  13.49    65.56    51.21     0.00
APERTIF_J000016       113.5     9.26   140.04   7.65    66.09    51.63     0.00
APERTIF_J000016       113.5     9.85   164.83  16.47    66.57    52.00     0.00
APERTIF_J000016       113.5    10.44   145.35  16.69    66.99    52.33     0.00
APERTIF_J000016       113.5    11.03   174.22  13.59    67.36    52.62     0.00
APERTIF_J000016       113.5    11.62   151.54  12.87    67.70    52.89     0.00
APERTIF_J000018         7.2     0.40   114.99  12.84    10.31     8.17     0.64
APERTIF_J000018         7.2     1.72    84.74  12.61    31.76    25.18     0.31
APERTIF_J000018         7.2     3.05   119.19   9.60    39.99    31.71     0.06
APERTIF_J000018         7.2     4.37   134.33  13.64    43.85    34.76     0.01
APERTIF_J000018         7.2     5.70   110.77  11.63    46.03    36.49     0.00
APERTIF_J000018         7.2     7.02   102.96  13.95    47.42    37.59     0.00
APERTIF_J000018         7.2     8.34   106.28  15.38    48.38    38.36     0.00
APERTIF_J000018         7.2     9.67   116.91  10.38    49.08    38.91     0.00
APERTIF_J000042        41.5     0.40    70.57   8.64    10.87    12.74     0.34
APERTIF_J000042        41.5     0.59    71.64  10.62    13.93    16.32     0.21
APERTIF_J000042        41.5     0.78    52.15  11.98    16.01    18.76     0.12
APERTIF_J000042        41.5     0.97    60.62   8.95    17.48    20.48     0.06
APERTIF_J000042        41.5     1.16    71.01   6.84    18.54    21.73     0.03
APERTIF_J000042        41.5     1.36    76.40   9.61    19.35    22.67     0.02
APERTIF_J000042        41.5     1.55    63.58   7.95    19.97    23.40     0.01
APERTIF_J000042        41.5     1.74    52.15   9.22    20.47    23.99     0.00
APERTIF_J000042        41.5     1.93    54.97  10.04    20.88    24.47     0.00
APERTIF_J000042        41.5     2.12    75.27  10.85    21.22    24.86     0.00
APERTIF_J000042        41.5     2.31    58.61  10.56    21.50    25.20     0.00
APERTIF_J000042        41.5     2.50    65.71  13.12    21.75    25.48     0.00
APERTIF_J000042        41.5     2.69    45.50  12.85    21.96    25.73     0.00
APERTIF_J000042        41.5     2.88    59.61   9.40    22.14    25.94     0.00
APERTIF_J000042        41.5     3.08    75.81   9.19    22.30    26.13     0.00
APERTIF_J000042        41.5     3.27    69.53   8.82    22.44    26.30     0.00
APERTIF_J000042        41.5     3.46    71.53   9.03    22.57    26.44     0.00
APERTIF_J000042        41.5     3.65    71.24  11.11    22.68    26.58     0.00
APERTIF_J000042        41.5     3.84    66.81  13.00    22.79    26.70     0.00
APERTIF_J000042        41.5     4.03    66.18  11.25    22.88    26.81     0.00
APERTIF_J000042        41.5     4.22    67.18   6.83    22.96    26.91     0.00
APERTIF_J000042        41.5     4.41    51.98   8.94    23.04    27.00     0.00
APERTIF_J000043        64.6     0.40    53.83  11.67     9.13     8.19     0.40
APERTIF_J000043        64.6     0.79    61.97   6.98    15.02    13.46     0.26
APERTIF_J000043        64.6     1.17    56.40  10.45    18.54    16.62     0.12
APERTIF_J000043        64.6     1.56    82.98   9.42    20.73    18.58     0.05
APERTIF_J000043        64.6     1.94    62.30  10.73    22.19    19.89     0.02
APERTIF_J000043        64.6     2.33    77.41   9.69    23.21    20.81     0.01
APERTIF_J000043        64.6     2.72    58.97  12.34    23.97    21.49     0.00
APERTIF_J000043        64.6     3.10    59.24   8.21    24.55    22.01     0.00
APERTIF_J000043        64.6     3.49    73.49  16.88    25.01    22.42     0.00
APERTIF_J000043        64.6     3.87    53.52   8.16    25.38    22.75     0.00
APERTIF_J000043        64.6     4.26    76.15  10.67    25.69    23.03     0.00
APERTIF_J000043        64.6     4.65    63.62   8.71    25.94    23.26     0.00
APERTIF_J000043        64.6     5.03    65.10   8.31    26.16    23.45     0.00
APERTIF_J000043        64.6     5.42    69.06   7.11    26.35    23.62     0.00
APERTIF_J000043        64.6     5.80    49.79   9.43    26.51    23.77     0.00
APERTIF_J000043        64.6     6.19    69.63  10.93    26.66    23.90     0.00
APERTIF_J000043        64.6     6.58    73.46   6.70    26.78    24.01     0.00
APERTIF_J000043        64.6     6.96    54.09  11.04    26.90    24.11     0.00
APERTIF_J000044        20.2     0.40    48.01  13.65     8.83     7.98     0.38
APERTIF_J000044        20.2     0.57    53.76   6.17    11.59    10.49     0.33
APERTIF_J000044        20.2     0.73    45.74   8.16    13.81    12.49     0.26
APERTIF_J000044        20.2     0.90    67.64  11.69    15.58    14.09     0.19
APERTIF_J000044        20.2     1.06    66.99   7.65    16.99    15.36     0.14
APERTIF_J000044        20.2     1.23    68.81   9.25    18.13    16.39     0.10
APERTIF_J000044        20.2     1.39    71.65   9.53    19.06    17.24     0.07
APERTIF_J000044        20.2     1.56    55.05  12.04    19.83    17.93     0.05
APERTIF_J000044        20.2     1.73    64.11   6.87    20.48    18.52     0.03
APERTIF_J000044        20.2     1.89    58.11   3.00    21.03    19.02     0.02
APERTIF_J000044        20.2     2.06    72.40  10.70    21.50    19.44     0.01
APERTIF_J000044        20.2     2.22    53.87   7.17    21.91    19.81     0.01
APERTIF_J000044        20.2     2.39    63.53  11.73    22.26    20.14     0.01
APERTIF_J000044        20.2     2.56    39.76  12.26    22.58    20.42     0.00
APERTIF_J000044        20.2     2.72    57.84   7.53    22.86    20.67     0.00
APERTIF_J000044        20.2     2.89    63.67   8.21    23.11    20.90     0.00
APERTIF_J000044        20.2     3.05    77.54  11.29    23.33    21.10     0.00
APERTIF_J000044        20.2     3.22    80.34  14.78    23.53    21.28     0.00
APERTIF_J000044        20.2     3.38    60.58  13.17    23.71    21.45     0.00
APERTIF_J000044        20.2     3.55    46.43   9.56    23.88    21.60     0.00
APERTIF_J000044        20.2     3.72    63.14   9.03    24.03    21.73     0.00
APERTIF_J000048        25.4     0.40   105.29  15.57    11.32     9.05     0.68
APERTIF_J000048        25.4     0.92   118.84  13.18    22.94    18.33     0.63
APERTIF_J000048        25.4     1.44   144.53  12.30    30.67    24.51     0.38
