# WALLABY DR2 Rotation Curves (SPARC-compatible format)
# Generated for TMT calibration
#
# Columns: Galaxy  D(Mpc)  R(kpc)  Vobs  e_Vobs  Vgas  Vdisk  Vbul
#
WALLABY_J000004       191.9     0.50    95.66   6.81    12.38    13.54     0.66
WALLABY_J000004       191.9     0.80    80.69   8.05    17.28    18.90     0.48
WALLABY_J000004       191.9     1.10    73.29  10.07    20.62    22.55     0.30
WALLABY_J000004       191.9     1.40    69.79   5.10    22.93    25.08     0.18
WALLABY_J000004       191.9     1.69    68.21   5.80    24.60    26.91     0.10
WALLABY_J000004       191.9     1.99    82.82   7.58    25.85    28.27     0.05
WALLABY_J000004       191.9     2.29    71.83   5.21    26.81    29.32     0.03
WALLABY_J000004       191.9     2.59    73.86   5.96    27.57    30.15     0.02
WALLABY_J000004       191.9     2.89    93.23  10.42    28.18    30.82     0.01
WALLABY_J000004       191.9     3.19    62.39   7.92    28.68    31.37     0.00
WALLABY_J000004       191.9     3.48    77.89   7.11    29.11    31.84     0.00
WALLABY_J000004       191.9     3.78    67.76   9.08    29.47    32.23     0.00
WALLABY_J000004       191.9     4.08    90.74   9.03    29.77    32.57     0.00
WALLABY_J000004       191.9     4.38    65.52  11.13    30.04    32.86     0.00
WALLABY_J000004       191.9     4.68    79.47   5.24    30.28    33.11     0.00
WALLABY_J000004       191.9     4.98    63.41   6.95    30.48    33.34     0.00
WALLABY_J000004       191.9     5.27    87.78   7.60    30.67    33.54     0.00
WALLABY_J000004       191.9     5.57    84.78   9.58    30.83    33.72     0.00
WALLABY_J000005        18.0     0.50    61.16  10.03    10.67    11.41     0.59
WALLABY_J000005        18.0     0.90    61.24   9.43    16.18    17.30     0.39
WALLABY_J000005        18.0     1.31    75.81   8.05    19.55    20.91     0.20
WALLABY_J000005        18.0     1.71    78.55   9.80    21.71    23.21     0.10
WALLABY_J000005        18.0     2.11    63.59   7.82    23.17    24.77     0.05
WALLABY_J000005        18.0     2.52    63.50   8.64    24.21    25.89     0.02
WALLABY_J000005        18.0     2.92    65.33   5.47    24.99    26.72     0.01
WALLABY_J000005        18.0     3.32    84.28   7.83    25.59    27.37     0.00
WALLABY_J000005        18.0     3.73    67.08  10.19    26.07    27.88     0.00
WALLABY_J000005        18.0     4.13    75.83   5.68    26.46    28.29     0.00
WALLABY_J000005        18.0     4.53    74.21   9.98    26.78    28.64     0.00
WALLABY_J000005        18.0     4.94    66.45   4.31    27.05    28.93     0.00
WALLABY_J000005        18.0     5.34    63.04   5.97    27.28    29.17     0.00
WALLABY_J000005        18.0     5.74    72.92   7.72    27.48    29.39     0.00
WALLABY_J000005        18.0     6.14    60.10   8.65    27.66    29.57     0.00
WALLABY_J000008        28.2     0.50    74.79   8.12    12.82    13.66     0.71
WALLABY_J000008        28.2     0.74    80.39   8.52    17.20    18.32     0.58
WALLABY_J000008        28.2     0.98    85.63   5.66    20.46    21.80     0.42
WALLABY_J000008        28.2     1.23    89.27  12.03    22.90    24.39     0.29
WALLABY_J000008        28.2     1.47    83.32   6.46    24.76    26.37     0.19
WALLABY_J000008        28.2     1.71    88.39   9.01    26.19    27.90     0.12
WALLABY_J000008        28.2     1.95    92.62  11.49    27.34    29.11     0.08
WALLABY_J000008        28.2     2.19    92.82  12.11    28.26    30.10     0.05
WALLABY_J000008        28.2     2.44    89.06   8.54    29.02    30.91     0.03
WALLABY_J000008        28.2     2.68    74.03   5.63    29.65    31.58     0.02
WALLABY_J000008        28.2     2.92    62.81   9.50    30.19    32.16     0.01
WALLABY_J000008        28.2     3.16    73.21   9.71    30.65    32.65     0.01
WALLABY_J000008        28.2     3.40    76.26   9.89    31.05    33.07     0.00
WALLABY_J000008        28.2     3.64    88.61   8.43    31.40    33.45     0.00
WALLABY_J000008        28.2     3.89    79.93   8.76    31.71    33.77     0.00
WALLABY_J000008        28.2     4.13    77.11   7.65    31.99    34.07     0.00
WALLABY_J000008        28.2     4.37    82.31   9.36    32.23    34.33     0.00
WALLABY_J000008        28.2     4.61    86.48  10.64    32.45    34.56     0.00
WALLABY_J000008        28.2     4.85    88.20   9.57    32.65    34.77     0.00
WALLABY_J000008        28.2     5.10    77.08   8.95    32.83    34.96     0.00
WALLABY_J000008        28.2     5.34    69.98  11.29    32.99    35.14     0.00
WALLABY_J000008        28.2     5.58    73.34   9.55    33.14    35.30     0.00
WALLABY_J000008        28.2     5.82    81.87   9.10    33.28    35.44     0.00
WALLABY_J000008        28.2     6.06    71.11   9.19    33.40    35.58     0.00
WALLABY_J000008        28.2     6.31    87.06   6.62    33.52    35.70     0.00
WALLABY_J000008        28.2     6.55    73.63   6.86    33.63    35.82     0.00
WALLABY_J000008        28.2     6.79    67.09   8.79    33.73    35.93     0.00
