# r(kpc)  M_bary(Msun)  M_Despres(Msun)  v_bary(km/s)  v_total(km/s)
1.000  1.454417e+08  4.426752e-19  25.014  25.014
2.000  5.108811e+08  2.364828e-18  33.150  33.150
3.000  1.011781e+09  5.318522e-18  38.091  38.091
4.000  1.587025e+09  8.391877e-18  41.314  41.314
5.000  2.193201e+09  1.091926e-17  43.440  43.440
6.000  2.800194e+09  1.262066e-17  44.808  44.808
7.000  3.387788e+09  1.352706e-17  45.629  45.629
8.000  3.943073e+09  1.385598e-17  46.048  46.048
9.000  4.458454e+09  1.389920e-17  46.164  46.164
10.000  4.930151e+09  1.394744e-17  46.054  46.054
11.000  5.357068e+09  1.424515e-17  45.772  45.772
12.000  5.739939e+09  1.497166e-17  45.363  45.363
13.000  6.080705e+09  1.623876e-17  44.858  44.858
14.000  6.382051e+09  1.809784e-17  44.284  44.284
15.000  6.647069e+09  2.055161e-17  43.662  43.662
16.000  6.879030e+09  2.356665e-17  43.007  43.007
17.000  7.081208e+09  2.708553e-17  42.332  42.332
18.000  7.256780e+09  3.103652e-17  41.646  41.646
19.000  7.408748e+09  3.534180e-17  40.957  40.957
20.000  7.539901e+09  3.992333e-17  40.272  40.272
21.000  7.652791e+09  4.470650e-17  39.595  39.595
22.000  7.749730e+09  4.962354e-17  38.928  38.928
23.000  7.832791e+09  5.461388e-17  38.276  38.276
24.000  7.903820e+09  5.962564e-17  37.640  37.640
25.000  7.964450e+09  6.461512e-17  37.021  37.021
26.000  8.016118e+09  6.954618e-17  36.419  36.419
27.000  8.060079e+09  7.439015e-17  35.836  35.836
28.000  8.097431e+09  7.912489e-17  35.272  35.272
29.000  8.129125e+09  8.373315e-17  34.726  34.726
30.000  8.155984e+09  8.820299e-17  34.199  34.199
