======================================================================
TMT k(M) CALIBRATION ON WALLABY DR2
======================================================================

Data source: C:\Users\PO\PycharmProjects\Maitrise-du-temps\data\WALLABY_DR2\WALLABY_DR2_synthetic_rotation_curves.txt
Total galaxies: 541
Valid galaxies: 541

==================================================
PERFORMANCE
==================================================

Galaxies improved: 541/541 (100.0%)
Baryonic-dominated: 0/541 (0.0%)
Median improvement: 60.8%
Mean improvement: 62.3%

==================================================
k(M) CALIBRATION
==================================================

k = 1.1714 × (M/10^10)^0.110
R² = 0.2971
p-value = 3.49e-43
Galaxies: 541

Comparison:
  SPARC (172 gal): k = 4.00 × (M/10^10)^(-0.49), R² = 0.64
  WALLABY (541 gal): k = 1.17 × (M/10^10)^(0.11), R² = 0.30

==================================================
r_c(M) CALIBRATION
==================================================

r_c = 3.62 × (M/10^10)^0.19 kpc
R² = 0.1270
Galaxies: 541

Comparison:
  SPARC: r_c = 2.6 × (M/10^10)^0.56 kpc, R² = 0.768
  WALLABY: r_c = 3.62 × (M/10^10)^0.19 kpc, R² = 0.127

==================================================
DETAILED RESULTS
==================================================

Galaxy                          M_bary    k_opt      r_c   Improv
-----------------------------------------------------------------
WALLABY_J000387               8.13e+10    1.384     8.41    60.7%
WALLABY_J000460               7.60e+10    1.306     8.09    56.1%
WALLABY_J000944               7.55e+10    1.718     8.07    53.6%
WALLABY_J001379               6.77e+10    1.654     7.59    43.9%
WALLABY_J000561               6.52e+10    1.099     7.43    47.1%
WALLABY_J000488               6.21e+10    1.339     7.23    52.1%
WALLABY_J000248               6.13e+10    1.312     7.18    51.4%
WALLABY_J000474               5.87e+10    2.053     7.00    45.9%
WALLABY_J000436               5.24e+10    1.505     6.58    51.2%
WALLABY_J000854               5.23e+10    1.242     6.57    48.3%
WALLABY_J000167               5.23e+10    2.273     6.57    56.0%
WALLABY_J001219               5.21e+10    2.397     6.55    59.2%
WALLABY_J001526               5.10e+10    2.195     6.47    54.9%
WALLABY_J000106               4.86e+10    1.143     6.30    56.4%
WALLABY_J000073               4.79e+10    1.325     6.25    59.3%
WALLABY_J001615               4.76e+10    1.854     6.23    54.9%
WALLABY_J000420               4.63e+10    1.254     6.14    56.3%
WALLABY_J001102               4.63e+10    1.602     6.13    45.4%
WALLABY_J001048               4.48e+10    1.283     6.02    41.9%
WALLABY_J001516               4.47e+10    1.388     6.01    56.7%
WALLABY_J001519               4.44e+10    1.804     5.99    47.1%
WALLABY_J000374               4.36e+10    1.181     5.93    62.3%
WALLABY_J001453               4.09e+10    1.556     5.72    37.1%
WALLABY_J000065               4.05e+10    1.105     5.69    58.0%
WALLABY_J001466               4.03e+10    1.776     5.68    56.6%
WALLABY_J000650               3.96e+10    1.445     5.62    53.5%
WALLABY_J000679               3.96e+10    0.977     5.62    61.7%
WALLABY_J000812               3.90e+10    1.119     5.58    65.8%
WALLABY_J001638               3.83e+10    1.281     5.51    50.3%
WALLABY_J001236               3.71e+10    1.025     5.42    48.8%
WALLABY_J000762               3.70e+10    1.893     5.41    44.8%
WALLABY_J001010               3.69e+10    1.246     5.41    56.6%
WALLABY_J001330               3.63e+10    1.392     5.35    49.3%
WALLABY_J000594               3.53e+10    1.085     5.27    57.4%
WALLABY_J000378               3.51e+10    1.758     5.25    58.3%
WALLABY_J001789               3.48e+10    1.242     5.23    55.9%
WALLABY_J000351               3.41e+10    1.240     5.17    58.7%
WALLABY_J001233               3.39e+10    1.494     5.15    47.0%
WALLABY_J001494               3.34e+10    1.288     5.11    60.0%
WALLABY_J000416               3.26e+10    1.128     5.04    53.8%
WALLABY_J001269               3.22e+10    1.300     5.01    48.8%
WALLABY_J000986               3.22e+10    1.322     5.01    61.1%
WALLABY_J001451               3.08e+10    1.489     4.88    53.0%
WALLABY_J000156               3.03e+10    2.733     4.84    58.6%
WALLABY_J001387               2.99e+10    1.300     4.80    49.6%
WALLABY_J000893               2.99e+10    1.011     4.80    50.9%
WALLABY_J001014               2.84e+10    1.960     4.66    55.4%
WALLABY_J001119               2.79e+10    1.132     4.62    53.6%
