======================================================================
TMT v2.0 - TEST SUR DONNÉES SPARC RÉELLES
======================================================================

Échantillon: 175 galaxies

Loi calibrée:
  k = 3.9689 × (M/10^10)^-0.480
  R² = 0.3736

Paramètres optimaux:
  r_c médian = 4.9 kpc
  n médian   = 0.57

Performance:
  Amélioration médiane: 97.5%
  Galaxies améliorées: 169/175

======================================================================
DÉTAILS PAR GALAXIE
======================================================================

Galaxie            M_bary    k_opt      r_c      n   Improv
------------------------------------------------------------
UGC02885         3.64e+11    0.841     16.0   0.73    98.5%
UGC02487         3.11e+11    1.215      9.1   0.72    99.9%
NGC6195          2.56e+11    0.365     36.9   1.64    92.6%
NGC0801          2.36e+11    0.509     34.3   0.72    95.4%
UGC11455         2.29e+11    0.715     25.2   1.07    94.8%
NGC2955          2.28e+11    0.465     29.9   1.33    70.5%
UGC09133         2.26e+11    0.815     21.4   0.97    99.2%
ESO563-G021      2.10e+11    1.842      4.0   0.45    94.6%
NGC5371          2.00e+11    0.343    200.0   0.35    84.1%
NGC2841          1.74e+11    1.867      6.6   0.77    99.6%
UGC12506         1.58e+11    1.806      0.1   0.19    98.1%
NGC5985          1.57e+11    2.220      0.1   0.18    98.1%
NGC7331          1.55e+11    0.678     24.6   1.99    98.0%
UGC02953         1.51e+11    1.405     12.9   1.01    99.5%
NGC6674          1.48e+11    1.292     11.6   0.86    99.4%
NGC3992          1.44e+11    1.286      8.7   0.59    98.4%
NGC5907          1.39e+11    1.047     12.8   0.65    98.8%
UGC06614         1.33e+11    0.855     22.4   1.62    94.8%
IC4202           1.32e+11    1.307     13.8   0.89    74.6%
UGC05253         1.32e+11    1.222     14.6   1.18    97.6%
UGC02916         1.26e+11    0.565     17.3   1.72    56.7%
NGC2998          1.24e+11    1.105     12.2   0.67    99.2%
NGC5005          1.08e+11    0.710     13.2   2.09    81.4%
NGC5055          9.79e+10    0.708     24.1   1.59    97.0%
NGC3953          9.23e+10    1.186    200.0   0.12    98.9%
NGC0891          8.76e+10    0.796     15.8   2.18    90.4%
UGC11914         8.43e+10    2.041     14.1   0.45    97.2%
NGC0289          8.32e+10    1.291      8.1   0.63    99.1%
NGC5033          8.13e+10    1.662      9.5   0.85    99.3%
UGC03205         7.92e+10    1.623      8.8   0.73    98.6%
NGC4088          7.06e+10    0.401     20.5   3.67    93.9%
UGC06787         7.06e+10    2.517      8.0   1.22    98.3%
NGC4157          6.77e+10    0.950     18.1   1.87    99.0%
UGC09037         6.31e+10    0.841     18.5   1.82    88.2%
UGC03546         6.27e+10    1.353     13.5   1.24    99.4%
NGC4217          6.17e+10    0.345     15.3   3.52    23.6%
NGC1090          5.87e+10    1.332     12.2   0.83    99.2%
NGC3521          5.21e+10    1.695      9.9   1.36    94.9%
NGC7814          5.13e+10    2.395      8.5   1.36    99.7%
NGC3877          4.99e+10    1.063    200.0   0.20    72.6%
NGC3726          4.89e+10    1.030     16.7   1.42    94.4%
UGC06786         4.88e+10    3.353      5.7   1.06    99.8%
NGC4013          4.84e+10    1.472     14.2   1.68    99.3%
NGC2903          4.70e+10    1.727     10.5   1.42    98.1%
NGC4051          4.48e+10    0.829    200.0   0.28    83.5%
NGC2683          4.40e+10    1.724     10.3   0.95    98.8%
NGC3198          4.29e+10    2.316      5.7   0.75    99.6%
NGC6946          4.22e+10    1.253     13.3   1.18    98.7%
NGC3893          4.03e+10    2.142      8.5   1.13    99.0%
NGC4100          3.73e+10    2.304      6.7   0.75    98.0%
UGC08699         3.66e+10    2.690      6.7   1.01    99.1%
ESO079-G014      3.63e+10    2.847      1.1   0.30    99.0%
UGC06973         3.15e+10    0.001      8.0   5.00    -5.8%
NGC4138          2.67e+10    2.430      7.3   0.93    96.5%
NGC6015          2.65e+10    3.511      2.5   0.46    94.9%
NGC4559          2.34e+10    2.232      7.5   0.87    99.0%
NGC3949          2.34e+10    1.419      7.9   1.79    89.5%
UGC00128         2.15e+10    3.486      0.1   0.30    97.6%
NGC3769          1.80e+10    2.813      6.7   1.07    97.7%
UGC01230         1.75e+10    2.937      0.1   0.26    89.7%
NGC3917          1.70e+10    3.744      0.4   0.21    98.4%
UGC03580         1.51e+10    3.008      7.7   1.51    93.2%
NGC4085          1.49e+10    1.606      7.1   2.05    69.4%
NGC1003          1.33e+10    4.631      3.6   0.95    98.6%
NGC2403          1.28e+10    5.373      2.4   0.75    98.4%
NGC4389          1.28e+10    0.001     50.2   5.00   -50.0%
NGC4010          1.27e+10    3.546      4.9   0.93    97.4%
UGC05005         1.23e+10    3.790      1.6   0.55    99.5%
NGC4183          1.22e+10    3.660      0.1   0.19    97.9%
F568-3           1.14e+10    7.661      0.1   0.30    93.8%
UGC06930         1.13e+10    4.022      0.1   0.19    98.3%
F579-V1          1.10e+10    6.467      0.1   0.28    86.7%
F568-1           1.08e+10   13.584      0.1   0.42    91.7%
NGC3972          1.05e+10    5.246      0.9   0.31    97.1%
UGC05999         1.04e+10    4.592      0.1   0.24    93.4%
UGC11557         1.04e+10    0.818     13.5   1.88    50.6%
NGC6503          1.00e+10    4.839      3.9   1.03    99.7%
UGC05750         9.13e+09    6.154      0.1   0.27    96.2%
UGC06983         8.77e+09    7.673      0.1   0.30    98.5%
NGC0247          7.86e+09    8.805      0.1   0.28    95.1%
UGC06917         7.72e+09    7.482      0.4   0.35    99.1%
UGC12732         7.67e+09    6.654      0.1   0.31    94.4%
F568-V1          7.57e+09   21.204      0.1   0.50    91.9%
UGC00634         7.18e+09    6.293      0.6   0.50    99.9%
NGC0055          7.16e+09    4.192      3.4   0.69    99.6%
F563-1           6.97e+09   10.291      0.1   0.43    91.9%
UGC07125         6.64e+09    2.270      0.2   0.10    95.5%
