# SPARC Rotation Curves from VizieR (J/AJ/152/157)
# Reference: Lelli, McGaugh & Schombert (2016), AJ, 152, 157
# Format: Galaxy  D(Mpc)  R(kpc)  Vobs  e_Vobs  Vgas  Vdisk  Vbul
#
CamB                    3.4     0.16     1.99   1.50     1.86     3.75     0.00
CamB                    3.4     0.41     4.84   1.50     4.24     9.47     0.00
CamB                    3.4     0.57     6.79   1.50     5.61    11.76     0.00
CamB                    3.4     0.73     8.87   1.50     6.77    13.72     0.00
CamB                    3.4     0.90    10.90   1.50     7.77    14.80     0.00
CamB                    3.4     1.06    12.90   1.50     8.44    15.24     0.00
CamB                    3.4     1.22    14.70   1.50     8.64    15.11     0.00
CamB                    3.4     1.47    16.80   1.50     8.08    15.90     0.00
CamB                    3.4     1.79    20.10   1.50     6.91    14.91     0.00
D564-8                  8.8     0.51     8.54   1.53     3.47     6.36     0.00
D564-8                  8.8     1.02    15.10   1.41     5.33     8.66     0.00
D564-8                  8.8     1.53    19.80   1.80     6.34     9.09     0.00
D564-8                  8.8     2.04    21.90   1.82     6.86     8.75     0.00
D564-8                  8.8     2.56    24.00   1.89     7.05     8.17     0.00
D564-8                  8.8     3.07    25.00   2.05     7.04     7.65     0.00
D631-7                  7.7     0.45     8.41   1.58     8.40     9.99     0.00
D631-7                  7.7     0.90    17.80   2.22    13.51    15.52     0.00
D631-7                  7.7     1.35    26.00   2.35    16.70    20.76     0.00
D631-7                  7.7     1.80    30.90   2.22    18.72    21.37     0.00
D631-7                  7.7     2.25    34.70   1.82    19.90    19.92     0.00
D631-7                  7.7     2.69    38.80   1.81    20.61    18.76     0.00
D631-7                  7.7     3.14    42.50   1.57    20.73    17.36     0.00
D631-7                  7.7     3.59    45.60   1.59    20.61    16.32     0.00
D631-7                  7.7     4.04    48.80   1.83    20.38    15.37     0.00
D631-7                  7.7     4.49    51.80   1.91    19.90    14.49     0.00
D631-7                  7.7     4.94    54.80   2.19    19.43    13.72     0.00
D631-7                  7.7     5.39    56.60   2.73    18.84    13.04     0.00
D631-7                  7.7     5.84    58.40   3.27    18.25    12.45     0.00
D631-7                  7.7     6.29    58.50   3.95    17.65    11.93     0.00
D631-7                  7.7     6.74    57.70   4.07    17.06    11.48     0.00
D631-7                  7.7     7.19    57.30   3.94    16.47    11.08     0.00
DDO064                  6.8     0.10     6.29   4.62    -1.13     1.96     0.00
DDO064                  6.8     0.30    13.90   4.62    -2.45     6.31     0.00
DDO064                  6.8     0.49    15.60   4.62    -0.64     9.67     0.00
DDO064                  6.8     0.69    18.40   4.62     2.49    13.92     0.00
DDO064                  6.8     0.89    22.50   4.62     1.87    15.16     0.00
DDO064                  6.8     1.09    26.50   4.62     4.97    16.41     0.00
DDO064                  6.8     1.29    35.30   4.62     9.29    17.34     0.00
DDO064                  6.8     1.48    40.50   4.62    13.62    18.34     0.00
DDO064                  6.8     1.68    44.20   4.89    16.26    19.12     0.00
DDO064                  6.8     1.88    46.30   4.62    18.16    19.54     0.00
DDO064                  6.8     2.08    46.40   4.62    19.64    19.10     0.00
DDO064                  6.8     2.27    46.30   4.62    20.17    18.77     0.00
DDO064                  6.8     2.37    46.40   6.73    20.59    18.61     0.00
DDO064                  6.8     2.98    46.90   8.65    22.17    17.21     0.00
DDO154                  4.0     0.49    13.80   1.60     3.74    12.31     0.00
DDO154                  4.0     0.99    21.60   1.00     7.46    14.55     0.00
DDO154                  4.0     1.48    28.90   1.00    10.87    12.95     0.00
DDO154                  4.0     1.97    34.30   1.00    13.32    11.54     0.00
DDO154                  4.0     2.47    38.20   1.00    14.77    10.18     0.00
DDO154                  4.0     2.96    42.00   1.00    16.20     9.16     0.00
DDO154                  4.0     3.46    44.60   1.00    17.60     8.37     0.00
DDO154                  4.0     3.95    46.30   1.00    17.91     7.77     0.00
DDO154                  4.0     4.44    47.40   1.00    17.48     7.29     0.00
DDO154                  4.0     4.94    48.20   1.00    16.93     6.89     0.00
DDO154                  4.0     5.43    47.40   1.00    16.28     6.55     0.00
DDO154                  4.0     5.92    45.50   1.30    15.64     6.26     0.00
DDO161                  7.5     0.60    16.00   3.53     6.82    12.59     0.00
DDO161                  7.5     0.73    16.60   4.83     8.12    14.22     0.00
DDO161                  7.5     0.85    18.60   2.50     9.30    15.27     0.00
DDO161                  7.5     0.98    20.00   7.58    10.41    17.04     0.00
DDO161                  7.5     1.07    21.40   4.03    11.27    18.03     0.00
DDO161                  7.5     1.54    28.90   2.74    15.22    22.44     0.00
DDO161                  7.5     2.02    32.90   2.65    18.74    24.92     0.00
DDO161                  7.5     2.49    35.20   2.88    21.52    25.85     0.00
DDO161                  7.5     2.96    37.60   3.05    23.28    26.01     0.00
DDO161                  7.5     3.43    40.60   3.68    24.59    25.36     0.00
DDO161                  7.5     3.90    42.70   3.25    25.62    25.01     0.00
DDO161                  7.5     4.37    45.50   2.99    26.35    24.48     0.00
DDO161                  7.5     4.86    48.90   1.96    27.08    23.70     0.00
DDO161                  7.5     5.34    51.50   1.53    27.81    22.69     0.00
DDO161                  7.5     5.81    53.00   1.86    28.40    21.59     0.00
DDO161                  7.5     6.28    55.00   1.48    28.98    20.86     0.00
DDO161                  7.5     6.75    57.60   1.00    29.57    20.11     0.00
DDO161                  7.5     7.22    59.70   1.19    30.30    19.38     0.00
DDO161                  7.5     7.69    60.50   1.26    31.18    18.70     0.00
DDO161                  7.5     8.16    61.80   1.33    32.06    18.06     0.00
DDO161                  7.5     8.64    62.90   1.35    32.64    17.47     0.00
DDO161                  7.5     9.11    63.00   2.09    33.23    16.94     0.00
DDO161                  7.5     9.58    64.50   2.38    33.38    16.44     0.00
DDO161                  7.5    10.05    65.60   1.08    33.38    15.98     0.00
DDO161                  7.5    10.52    67.50   3.22    32.79    15.57     0.00
DDO161                  7.5    10.99    66.80   2.37    32.06    15.18     0.00
DDO161                  7.5    11.46    66.80   1.00    31.18    14.81     0.00
DDO161                  7.5    11.94    66.60   1.00    30.30    14.47     0.00
DDO161                  7.5    12.41    66.80   1.00    29.42    14.16     0.00
DDO161                  7.5    12.90    66.30   1.00    28.69    13.86     0.00
DDO161                  7.5    13.37    66.10   1.31    27.81    13.59     0.00
DDO168                  4.2     0.41    15.00   4.10    10.41     8.28     0.00
DDO168                  4.2     0.82    23.40   1.30    18.08    12.66     0.00
DDO168                  4.2     1.24    29.20   1.50    20.09    15.11     0.00
DDO168                  4.2     1.64    36.20   1.10    20.20    15.99     0.00
DDO168                  4.2     2.06    44.00   1.10    22.00    16.89     0.00
DDO168                  4.2     2.47    52.10   1.20    22.63    17.03     0.00
DDO168                  4.2     2.89    52.90   1.70    22.95    16.99     0.00
DDO168                  4.2     3.30    54.80   2.20    22.74    17.19     0.00
DDO168                  4.2     3.71    55.00   2.50    22.74    17.16     0.00
DDO168                  4.2     4.12    52.00   2.70    22.74    16.37     0.00
DDO170                 15.4     1.87    27.70   3.00     8.68    18.19     0.00
DDO170                 15.4     3.36    42.40   1.50    15.07    19.75     0.00
DDO170                 15.4     4.86    52.50   1.00    20.59    19.94     0.00
DDO170                 15.4     6.35    55.60   1.00    24.61    19.17     0.00
DDO170                 15.4     7.85    58.60   1.10    26.94    18.71     0.00
DDO170                 15.4     9.34    59.00   1.20    27.60    17.41     0.00
DDO170                 15.4    10.83    60.00   1.30    26.77    16.05     0.00
DDO170                 15.4    12.33    62.20   1.00    24.90    15.01     0.00
