# Cluster Catalog (synthetic based on Abell/redMaPPer statistics)
# RA DEC z R200[Mpc] log_M200
150.1118 6.7698 0.0183 1.51 15.39
224.2657 62.9914 0.1409 1.38 14.67
327.1984 -88.7323 0.0215 2.49 14.67
255.2481 78.2448 0.0413 1.31 14.18
151.3144 23.8624 0.0594 1.61 14.41
315.1870 26.7113 0.2940 1.57 14.60
284.6194 61.9297 0.1645 0.98 14.87
317.7257 34.9980 0.1169 1.04 14.63
280.1229 -88.9100 0.1985 1.23 14.69
292.4297 -29.3709 0.0754 1.16 14.22
337.2641 29.2261 0.2430 2.00 14.97
81.7201 75.0686 0.0440 1.04 15.11
178.1302 -69.5126 0.3022 1.75 14.04
160.3801 -69.0887 0.0375 2.10 15.10
91.2450 -28.4322 0.0779 1.24 14.05
194.4877 9.2590 0.0570 1.45 14.19
152.7040 -35.4482 0.0120 2.64 14.68
278.4463 -5.2569 0.2779 1.74 15.50
111.5563 76.6648 0.2835 2.11 14.68
249.7911 -11.6815 0.5335 1.25 15.17
252.6108 62.3382 0.0730 1.68 15.32
16.1359 63.1651 0.4635 1.54 14.34
60.4669 -49.0999 0.0885 1.38 15.27
103.1785 65.4251 0.1662 1.07 14.60
262.4748 24.2651 0.0129 1.31 14.55
326.8208 -42.5275 0.3411 1.64 14.40
307.0897 -19.8033 0.0531 1.89 15.43
139.7375 84.4947 0.0456 1.61 14.26
77.2316 -88.9763 0.1175 1.24 14.65
308.7882 -85.8398 0.0968 1.89 15.14
225.2979 30.3061 0.1517 1.36 14.98
112.2699 -42.1343 0.5739 2.13 15.37
33.6932 -37.2815 0.3590 1.85 14.21
191.1308 68.1904 0.3614 1.61 14.94
269.0177 32.7521 0.1117 1.53 15.30
345.5377 -37.4402 0.0165 1.60 15.03
211.2445 46.1581 0.0299 1.68 15.46
146.7745 -67.2071 0.4588 1.65 15.35
32.4214 -36.7995 0.0796 1.18 14.87
212.4416 39.2129 0.3004 1.95 15.19
108.9001 76.3864 0.1673 1.69 14.10
170.1441 -68.4010 0.1486 1.51 15.45
206.4188 28.9170 0.0484 1.20 14.15
318.1140 -15.9625 0.3406 1.14 15.02
352.8623 -65.6477 0.0348 1.64 14.50
237.9267 -74.2033 0.0777 1.48 14.81
288.4700 -62.2918 0.1996 1.15 15.16
5.5580 29.9380 0.0883 1.68 15.16
115.9634 -20.4642 0.1234 1.60 15.35
210.4645 -54.6235 0.0795 2.05 15.38
52.4241 20.7293 0.1947 1.15 14.51
290.8882 70.2360 0.0764 1.84 15.03
206.4996 60.1605 0.1664 1.21 15.39
344.9045 -14.3329 0.1830 2.39 14.08
346.5135 63.1102 0.1411 1.98 14.34
279.7657 -38.7154 0.1165 1.40 14.53
37.3393 -81.4981 0.0346 1.38 14.67
45.2310 69.9929 0.0333 1.18 15.03
2.0266 5.3199 0.2383 2.44 14.76
276.3990 -61.1018 0.0514 2.66 15.41
44.1204 52.7867 0.1601 0.72 15.02
127.4790 -45.8623 0.0534 2.11 14.68
80.6578 12.8787 0.0234 1.17 15.48
143.0538 86.2176 0.0776 1.82 14.11
326.0273 -83.6283 0.0557 1.50 15.02
315.7255 20.7823 0.0418 1.24 15.25
248.6510 -48.5011 0.1330 1.47 15.34
174.1400 -70.9980 0.0422 1.79 15.40
267.7514 -6.0830 0.2066 1.74 15.35
259.5608 83.4334 0.1910 1.76 15.00
320.0764 18.9943 0.1782 0.88 15.34
252.2673 37.5809 0.0163 2.38 15.03
