# SDSS-like Void Catalog (synthetic based on published statistics)
# Reference: Sutter et al. 2012, Mao et al. 2017
# RA DEC z R_eff[Mpc/h] delta_c
145.8695 35.2945 0.1897 13.93 -0.583
240.2584 15.0222 0.1389 18.14 -0.538
184.7035 42.3474 0.2018 15.95 -0.510
113.0999 8.5615 0.2718 13.48 -0.807
109.9537 -8.8495 0.1313 19.93 -0.547
156.8205 51.1483 0.1313 17.96 -0.769
233.4325 39.8994 0.2763 16.61 -0.855
220.3058 50.9842 0.2114 13.89 -0.552
234.0645 -6.8850 0.1124 23.46 -0.646
187.9357 56.9696 0.1934 45.72 -0.834
174.8338 39.5621 0.1129 21.45 -0.728
125.0669 35.0716 0.1127 32.91 -0.785
155.7928 39.9691 0.1694 9.98 -0.605
173.7833 59.1547 0.0120 21.64 -0.719
115.0621 36.9549 0.1050 11.55 -0.504
137.5040 36.4760 0.0690 9.56 -0.878
201.6983 69.2543 0.1751 13.82 -0.758
225.0627 50.5384 0.0774 36.30 -0.707
269.7191 25.3835 0.0370 32.16 -0.699
258.6293 46.5918 0.2673 22.58 -0.774
209.2361 21.1384 0.1319 9.29 -0.608
171.6122 8.3100 0.1554 18.13 -0.550
208.1502 37.7482 0.0360 23.26 -0.525
233.5608 64.2546 0.1064 21.83 -0.578
120.1172 64.3312 0.1589 7.96 -0.560
169.6838 17.3524 0.0579 12.81 -0.680
242.7664 32.2142 0.1801 19.37 -0.570
165.2516 6.9309 0.1019 26.15 -0.779
197.2183 69.6505 0.1267 6.67 -0.741
199.9208 68.4894 0.1019 18.44 -0.773
131.3610 41.9607 0.2982 21.48 -0.713
161.5800 54.3531 0.1489 30.59 -0.786
156.8669 47.2080 0.0654 28.28 -0.515
104.4534 37.4527 0.2158 26.76 -0.775
104.1126 -5.7322 0.0523 13.41 -0.861
241.3885 26.3811 0.1667 7.70 -0.689
146.4220 43.9829 0.0437 16.43 -0.877
188.0734 44.2025 0.1657 33.00 -0.856
150.7833 19.8498 0.2091 40.14 -0.812
259.9155 65.3354 0.1637 28.53 -0.714
144.0804 3.3886 0.1407 24.79 -0.727
173.0417 30.0288 0.1259 24.18 -0.580
248.3641 45.2707 0.0317 15.15 -0.604
243.1287 45.7709 0.0924 18.74 -0.729
131.6372 41.8911 0.1131 46.07 -0.767
236.4494 12.0231 0.2346 12.48 -0.773
177.8918 2.4965 0.1775 44.84 -0.590
182.1047 40.8752 0.1759 17.03 -0.879
122.6916 37.9442 0.1192 38.80 -0.895
113.7023 4.3485 0.0958 9.90 -0.582
223.7497 46.4111 0.1989 26.81 -0.709
184.3984 26.4138 0.2325 13.84 -0.848
174.2646 43.4208 0.2245 9.86 -0.806
224.0164 56.9894 0.0829 22.31 -0.527
230.1372 3.5783 0.1253 33.13 -0.556
127.0144 -8.4684 0.1765 13.11 -0.616
203.7383 52.3282 0.2280 9.45 -0.707
123.0102 38.7758 0.1117 19.10 -0.692
227.7338 45.9712 0.1351 19.14 -0.510
211.6824 57.0524 0.0615 26.31 -0.514
262.6245 54.2249 0.0543 32.15 -0.814
111.7229 66.8736 0.2150 19.41 -0.576
109.6993 32.8748 0.2585 50.58 -0.821
147.9718 29.0797 0.1442 22.37 -0.815
144.4900 22.1510 0.2303 16.82 -0.630
141.9864 2.2953 0.1789 8.93 -0.738
254.0633 35.8086 0.0984 17.54 -0.527
142.4229 12.1610 0.1789 16.90 -0.864
146.2315 63.7046 0.2730 32.33 -0.695
229.0977 36.6553 0.1471 25.20 -0.533
176.4558 37.4272 0.2752 11.09 -0.538
232.0408 18.3940 0.0596 21.80 -0.837
111.1122 -5.8409 0.2158 27.98 -0.753
182.8871 -7.4605 0.1570 42.94 -0.652
105.7143 23.8668 0.1261 31.17 -0.836
110.6510 -3.2348 0.1573 29.26 -0.513
254.0944 38.5478 0.1324 20.61 -0.534
123.6717 60.4778 0.1786 24.29 -0.833
190.5115 60.6332 0.2682 37.36 -0.852
169.8863 42.7236 0.1085 10.27 -0.866
159.0484 6.8985 0.0853 16.79 -0.536
252.9717 59.0397 0.1099 13.59 -0.823
103.7100 60.8875 0.2232 24.17 -0.733
212.8442 5.7323 0.1763 37.00 -0.720
263.7771 48.9941 0.1076 14.84 -0.660
195.2286 12.9216 0.1911 6.05 -0.871
259.2598 54.2112 0.1578 16.27 -0.809
108.8838 69.7790 0.2275 31.58 -0.527
171.1949 -7.5979 0.0938 26.17 -0.537
144.2268 61.7893 0.1238 24.77 -0.587
224.2396 39.8104 0.1186 17.39 -0.892
266.8205 67.8706 0.0329 10.55 -0.769
143.6101 27.2008 0.1737 25.88 -0.649
211.2097 57.7910 0.1709 13.18 -0.790
133.6766 -5.0085 0.1504 59.61 -0.536
196.1061 16.8223 0.1312 26.60 -0.646
178.8685 -4.6387 0.0368 14.96 -0.871
265.2409 68.0275 0.1163 14.73 -0.536
203.4496 55.3579 0.1226 19.09 -0.517
159.4161 58.2038 0.0858 17.74 -0.869
119.3963 65.0372 0.1371 34.96 -0.687
125.7120 -3.1917 0.1823 21.95 -0.779
138.3039 20.8478 0.3009 13.87 -0.743
142.6643 -4.3172 0.1640 51.47 -0.828
244.6047 6.8634 0.1706 20.50 -0.669
195.4079 8.3493 0.1440 29.38 -0.517
188.9765 27.5286 0.1479 14.76 -0.699
119.5107 11.4850 0.1548 23.98 -0.867
246.2237 -1.9218 0.3471 23.37 -0.652
222.8784 3.3993 0.1346 7.77 -0.764
111.5036 1.7820 0.1741 54.78 -0.558
220.3320 67.8461 0.1472 38.13 -0.726
192.4015 50.7434 0.0565 16.40 -0.823
113.8933 67.4209 0.2414 11.53 -0.824
177.9111 25.1792 0.2102 23.80 -0.592
182.3984 12.2695 0.2133 20.89 -0.794
128.1817 53.8635 0.0772 23.89 -0.593
260.7687 16.1003 0.2622 22.01 -0.818
244.4958 13.9507 0.0379 25.76 -0.771
213.7338 8.6005 0.1969 41.24 -0.714
178.5902 0.3743 0.3252 26.57 -0.523
170.0001 10.5170 0.0708 11.83 -0.527
210.6655 18.4256 0.1047 39.53 -0.817
192.7234 43.9195 0.1580 45.42 -0.757
110.5864 -4.9948 0.1097 96.71 -0.840
187.1255 6.8406 0.0259 11.40 -0.696
237.0886 54.7219 0.1555 22.58 -0.716
178.0708 1.7538 0.0650 7.06 -0.540
108.8326 17.4116 0.1879 26.37 -0.528
233.6673 59.1727 0.0764 15.21 -0.747
134.2318 2.3940 0.2740 52.32 -0.703
143.9655 -3.3811 0.0873 13.58 -0.542
128.0001 28.7630 0.1242 8.59 -0.577
156.1366 14.1936 0.2151 15.80 -0.899
228.6478 35.0727 0.0515 7.45 -0.772
188.2956 54.3044 0.1682 29.12 -0.731
134.8298 0.9719 0.2546 7.12 -0.808
249.2311 36.4559 0.0214 20.29 -0.820
249.5289 30.4407 0.1648 7.08 -0.885
247.9983 1.5263 0.1708 17.04 -0.643
140.5954 39.9199 0.2125 45.49 -0.795
176.7107 11.8912 0.0510 23.95 -0.879
267.4482 29.0267 0.0444 12.99 -0.808
231.2421 -3.4182 0.1918 19.69 -0.579
104.6185 26.7667 0.1738 20.18 -0.559
111.0848 14.5171 0.1700 25.33 -0.707
178.8683 55.7905 0.1777 10.10 -0.734
254.5674 -5.4417 0.0956 26.90 -0.509
191.5793 23.4886 0.1686 5.17 -0.820
184.6281 26.6745 0.1734 14.60 -0.814
117.9305 48.0005 0.0929 15.67 -0.783
211.6526 35.9430 0.2993 27.45 -0.831
239.7575 43.3770 0.1879 20.23 -0.748
164.6714 52.1639 0.0547 9.90 -0.536
231.8540 58.9762 0.2025 12.22 -0.654
263.9610 15.1100 0.0720 22.09 -0.735
134.6403 33.0418 0.2130 19.22 -0.526
188.9660 57.2086 0.2427 14.97 -0.881
148.8135 69.1561 0.0843 15.73 -0.816
234.7853 61.1615 0.2271 28.33 -0.674
198.1909 19.7174 0.1830 15.44 -0.654
207.8790 5.6133 0.2158 19.14 -0.884
235.6454 29.1514 0.3017 59.19 -0.739
167.3150 49.3313 0.1304 9.81 -0.640
255.5653 29.4055 0.0897 7.92 -0.621
190.6149 28.6545 0.0788 29.59 -0.645
126.8523 57.0584 0.0847 14.25 -0.772
218.3029 18.9123 0.1438 17.06 -0.863
234.8544 58.7836 0.1773 13.53 -0.729
