====================================================================================================
CALIBRATION CONSTANTE COUPLAGE k - ÉCHANTILLON SPARC COMPLET (N=175)
====================================================================================================

Galaxy          Type    M_stellar    M_gas      M_bary     R_disk  v_flat    k        χ²_red
----------------------------------------------------------------------------------------------------
SPARC_001_Sd    Sd     5.77e+08  7.20e+08  1.30e+09    0.58    45.3    0.0001  444000.535
SPARC_002_dwarf dwarf  5.68e+08  1.08e+09  1.64e+09    0.50    43.2    0.0001  731425.660
SPARC_003_Sb    Sb     2.15e+10  5.63e+09  2.72e+10    1.30   124.3    0.0001  555007.129
SPARC_004_Sc    Sc     3.34e+09  7.97e+09  1.13e+10    0.80    78.3    0.0001  959395.518
SPARC_005_Sd    Sd     4.68e+09  3.67e+09  8.35e+09    0.83    85.1    0.0001  566980.410
SPARC_006_Sd    Sd     5.51e+08  8.03e+08  1.35e+09    0.61    50.8    0.0001  348555.669
SPARC_007_Sd    Sd     6.86e+08  7.82e+08  1.47e+09    0.52    57.5    0.0001  342968.693
SPARC_008_Sa    Sa     7.07e+10  2.23e+10  9.30e+10    2.11   197.1    0.0001  476472.734
SPARC_009_Sc    Sc     3.56e+09  2.63e+09  6.19e+09    0.62    76.7    0.0001  697026.754
SPARC_010_Sb    Sb     2.80e+10  2.60e+10  5.40e+10    1.36   149.6    0.0001  738976.649
SPARC_011_Sd    Sd     1.73e+09  4.52e+09  6.25e+09    0.50    58.0    0.0001  1565012.270
SPARC_012_dwarf dwarf  8.09e+08  2.40e+09  3.21e+09    0.45    57.3    0.0001  902075.988
SPARC_013_Sa    Sa     8.48e+10  6.19e+10  1.47e+11    1.87   156.8    0.0001  1395065.747
SPARC_014_Sd    Sd     9.45e+08  6.73e+08  1.62e+09    0.51    48.9    0.0001  538081.779
SPARC_015_Sd    Sd     3.50e+09  2.60e+09  6.10e+09    0.75    77.4    0.0001  556025.892
SPARC_016_Sd    Sd     4.08e+09  2.43e+09  6.51e+09    0.95    88.8    0.0001  352010.886
SPARC_017_Sd    Sd     8.72e+08  2.59e+09  3.46e+09    0.53    57.2    0.0001  820664.492
SPARC_018_Sc    Sc     9.44e+09  9.44e+10  1.04e+11    1.19   105.2    0.0001  3406611.406
SPARC_019_Sc    Sc     3.21e+09  2.65e+09  5.86e+09    0.68    71.7    0.0001  692862.681
SPARC_020_Sd    Sd     2.06e+09  3.50e+09  5.56e+09    0.71    57.3    0.0001  984688.758
SPARC_021_Sc    Sc     1.14e+09  1.58e+09  2.71e+09    0.65    58.5    0.0001  501579.036
SPARC_022_Sd    Sd     6.66e+08  7.13e+08  1.38e+09    0.38    51.9    0.0001  547122.917
SPARC_023_Sd    Sd     1.98e+09  1.42e+10  1.61e+10    0.70    54.5    0.0001  3298019.830
SPARC_024_Sd    Sd     8.06e+08  1.95e+09  2.76e+09    0.40    52.7    0.0001  1030737.797
SPARC_025_Sc    Sc     2.78e+10  2.90e+10  5.68e+10    1.61   114.5    0.0001  1133526.094
SPARC_026_Sb    Sb     7.51e+09  6.49e+09  1.40e+10    1.30    96.9    0.0001  466994.566
SPARC_027_Sd    Sd     8.32e+08  7.60e+09  8.43e+09    0.58    46.1    0.0001  2870609.148
